Date,Link,Message
2024-08-31 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7368646059259647795/,This is exactly what we needed to hear. Sharing with my team.
2026-02-02 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7641444253403871069/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2024-10-14 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7987620438261435345/,Spot on. Email + SMS together is a different game entirely.
2024-11-16 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7014254489105824799/,The AI tools section is where I'm spending most of my time right now.
2024-09-08 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7901222211258851263/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2026-01-07 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7172525853058065839/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2024-09-29 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7671780939713665535/,This is exactly what we needed to hear. Sharing with my team.
2026-01-14 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7898753846481521399/,This is exactly what we needed to hear. Sharing with my team.
2025-07-14 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7617543355166022641/,The tech stack you listed is almost exactly what our top clients use.
2025-03-08 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7441619052589118796/,This is gold. Bookmarking for our next quarterly review.
2024-09-24 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7545385622855283103/,Great insights! We saw a similar lift when we rebuilt our post-purchase flows.
2025-11-07 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7464597346714487432/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2024-08-07 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7784923791562167495/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2026-03-24 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7382186646407437852/,Would love to connect and learn more about your framework.
2026-03-13 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7547889271548769754/,Spot on. Email + SMS together is a different game entirely.
2025-04-16 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7389533064019966874/,Spot on. Email + SMS together is a different game entirely.
2025-06-18 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7971735931017284689/,This is gold. Bookmarking for our next quarterly review.
2024-05-20 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7113236935959541350/,Would love to connect and learn more about your framework.
2025-12-16 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7510871755869695018/,The tech stack you listed is almost exactly what our top clients use.
2025-07-31 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7480506242533595438/,The AI tools section is where I'm spending most of my time right now.
2024-07-10 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7216675100397371611/,This is gold. Bookmarking for our next quarterly review.
2025-09-28 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7949972084612053886/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2024-12-22 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7595485588080961286/,The tech stack you listed is almost exactly what our top clients use.
2026-03-06 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7912526298862630656/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2026-02-24 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7818077819663139678/,100%. AOV is a vanity metric if churn is high.
2025-03-15 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7899874169686717004/,100%. AOV is a vanity metric if churn is high.
2024-09-27 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7200305536664151427/,Would love to connect and learn more about your framework.
2025-10-09 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7066440003747846813/,Would love to connect and learn more about your framework.
2026-03-30 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7058290881489916405/,The tech stack you listed is almost exactly what our top clients use.
2024-05-11 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7315874547460529067/,The tech stack you listed is almost exactly what our top clients use.
2025-01-12 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7457643288842729047/,This is exactly what we needed to hear. Sharing with my team.
2024-06-04 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7278935633262738765/,The tech stack you listed is almost exactly what our top clients use.
2024-12-18 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7514322241758117281/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2025-01-02 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7635644506514770111/,The tech stack you listed is almost exactly what our top clients use.
2025-05-15 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7965749038162642750/,Spot on. Email + SMS together is a different game entirely.
2024-05-27 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7328662618843901147/,Great insights! We saw a similar lift when we rebuilt our post-purchase flows.
2025-04-02 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7187819448348307036/,The AI tools section is where I'm spending most of my time right now.
2025-09-25 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7255200419174392731/,Would love to connect and learn more about your framework.
2024-06-08 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7310232240366572132/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2024-11-23 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7996850437630076601/,Great insights! We saw a similar lift when we rebuilt our post-purchase flows.
2025-01-02 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7152547758981059455/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2024-08-25 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7009758018812344802/,Would love to connect and learn more about your framework.
2025-08-17 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7928200460286586044/,Spot on. Email + SMS together is a different game entirely.
2024-05-03 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7817845851296557544/,Spot on. Email + SMS together is a different game entirely.
2025-02-23 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7434046641410826060/,The tech stack you listed is almost exactly what our top clients use.
2025-01-17 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7251577912308989146/,This is gold. Bookmarking for our next quarterly review.
2025-06-27 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7600254629218662948/,The AI tools section is where I'm spending most of my time right now.
2025-03-22 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7117957826141287254/,Great insights! We saw a similar lift when we rebuilt our post-purchase flows.
2024-11-25 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7763643845196552851/,The tech stack you listed is almost exactly what our top clients use.
2024-10-05 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7684573130692769427/,The AI tools section is where I'm spending most of my time right now.
2025-07-17 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7789074622718470935/,This is exactly what we needed to hear. Sharing with my team.
2024-12-25 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7387708652294217730/,Spot on. Email + SMS together is a different game entirely.
2024-07-16 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7993232190986530517/,Spot on. Email + SMS together is a different game entirely.
2025-08-08 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7819835300287575121/,Spot on. Email + SMS together is a different game entirely.
2025-10-22 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7596398897373496358/,Would love to connect and learn more about your framework.
2026-03-05 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7988417311372256797/,The AI tools section is where I'm spending most of my time right now.
2025-03-15 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7368457271406527484/,The repeat purchase rate point is underrated. Most brands ignore it completely.
2026-04-06 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7573431823922124004/,Spot on. Email + SMS together is a different game entirely.
2025-08-10 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7482573385288342326/,"We ran a similar test and saw a 22% lift. Email isn't dead, people just use it wrong."
2025-03-31 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7040720042636769688/,The AI tools section is where I'm spending most of my time right now.
2024-05-07 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7659520021011639866/,Would love to connect and learn more about your framework.
2025-05-16 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7822458795463486505/,Would love to connect and learn more about your framework.
2024-05-30 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7735925464301688960/,This is gold. Bookmarking for our next quarterly review.
2024-06-14 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7584894209891661770/,Spot on. Email + SMS together is a different game entirely.
2025-11-09 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7758178107788368126/,100%. AOV is a vanity metric if churn is high.
2025-10-29 00:00:00,https://www.linkedin.com/feed/update/urn:li:activity:7112528672697970330/,This is gold. Bookmarking for our next quarterly review.
